pageURL,title,publishedDate,author,tags
https://www.indiatoday.in/sports/cricket/story/ipl-2025-rr-vs-mi-rohit-sharma-hardik-pandya-ryan-rickelton-jasprit-bumrah-2718272-2025-05-01,"IPL 2025: Ruthless MI top table, knock Rajasthan Royals out of playoffs race",2025-05-01T23:12:07.000000Z,Jane Doe,"[""#IPL2025"", ""#MumbaiIndians"", ""#RajasthanRoyals""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-shubman-gill-back-spasm-gt-vs-srh-2718263-2025-05-01,"Shubman Gill likely to play vs SRH despite back spasm scare, confirms GT's Vikram Solanki",2025-05-01T22:30:24.000000Z,Jane Doe," [""#ShubmanGill"", ""#GujaratTitans"", ""#IPLInjuries""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-rr-vs-mi-vaibhav-suryavanshi-duck-hundred-14-year-old-disappointment-2718247-2025-05-01,IPL 2025: Vaibhav Suryavanshi out for 2-ball duck days after 35-ball hundred,2025-05-01T21:53:11.000000Z,Jane Doe,"[""#VaibhavSuryavanshi"", ""#IPL2025"", ""#CricketForm""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-rr-vs-mi-rohit-sharma-6000-runs-mumbai-indians-virat-kohli-2718232-2025-05-01,"IPL: Rohit Sharma completes 6,000 runs for MI, joins Virat Kohli in unique list",2025-05-01T21:13:15.000000Z,Jane Doe,"[""#RohitSharma"", ""#MumbaiIndians"", ""#IPLRecords""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-sunil-gavaskar-on-vaibhav-suryavanshi-14-year-old-sensation-2718210-2025-05-01,"IPL 2025: Don't praise Vaibhav Suryavanshi to the skies, says Sunil Gavaskar",2025-05-01T20:36:03.000000Z,Jane Doe,"[""#VaibhavSuryavanshi"", ""#SunilGavaskar"", ""#IPL2025""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-gareth-southgate-attends-ipl-jaipur-rajasthan-royals-womens-initiatives-2718207-2025-05-01,IPL 2025: Former England football manager Gareth Southgate watches RR vs MI,2025-05-01T20:35:50.000000Z,Mary Poppins,"[""#GarethSouthgate"", ""#RajasthanRoyals"", ""#IPL2025""]"
https://www.indiatoday.in/sports/cricket/story/rr-vs-mi-rohit-sharma-laughs-as-last-second-drs-call-helps-him-survive-2718196-2025-05-01,RR vs MI: Rohit Sharma heaves sigh of relief as last-second DRS call helps him survive,2025-05-01T20:16:45.000000Z,Mary Poppins,"[""#RohitSharma"", ""#DRS"", ""#RRvsMI""]"
https://www.indiatoday.in/sports/cricket/story/ipl-2025-rr-vs-mi-sandeep-sharma-broken-finger-injury-akash-madhwal-2718183-2025-05-01,RR vs MI: Sandeep Sharma misses game due to broken finger as Rajasthan make 2 changes,2025-05-01T19:28:00.000000Z,Mary Poppins,"[""#SandeepSharma"", ""#RajasthanRoyals"", ""#IPLInjuries""]"
https://www.indiatoday.in/sports/cricket/story/shikhar-dhawan-girlfriend-sophie-shine-instagram-post-confirmation-2718181-2025-05-01,Shikhar Dhawan confirms relationship with girlfriend Sophie Shine in Insta post,2025-05-01T19:24:35.000000Z,Mary Poppins,"[""#ShikharDhawan"", ""#SophieShine"", ""#CelebrityNews""]"
https://www.indiatoday.in/sports/football/story/barcelona-champions-league-lamine-yamal-2718130-2025-05-01,Lamine Yamal deserves to win Ballon d'Or if Barcelona win Champions League: Rio Ferdinand,2025-05-01T18:19:09.000000Z,Harry Potter,"[""#LamineYamal"", ""#BallonDor"", ""#Barcelona""]"
https://www.indiatoday.in/sports/cricket/story/virender-sehwag-reveals-why-delhi-daredevils-didnt-pick-virat-kohli-in-ipl-2008-2718104-2025-05-01,Virender Sehwag reveals why Delhi didn't pick Virat Kohli in IPL 2008,2025-05-01T17:56:23.000000Z,Harry Potter," [""#VirenderSehwag"", ""#ViratKohli"", ""#IPLHistory""]"
https://www.indiatoday.in/sports/cricket/story/najmul-hossain-shanto-bangladesh-vs-zimbabwe-press-conference-chattogram-2718047-2025-05-01,Najmul Shanto not happy despite Chattogram win: Bangladesh should have won the series,2025-05-01T16:09:12.000000Z,Harry Potter," [""#NajmulShanto"", ""#BangladeshCricket"", ""#Chattogram""]"
https://www.indiatoday.in/sports/cricket/story/suryakumar-yadav-mumbai-indians-debut-ipl-2025-2718029-2025-05-01,Suryakumar Yadav recalls Mumbai Indians debut: Barely slept the night before,2025-05-01T15:10:34.000000Z,Harry Potter," [""#SuryakumarYadav"", ""#MumbaiIndians"", ""#IPL2025""]"
https://www.indiatoday.in/sports/other-sports/story/pickleball-administrative-war-aipa-vs-ipa-india-sports-ministry-2717984-2025-05-01,Pickleball lands in administrative war as AIPA opposes government recognition of IPA,2025-05-01T14:27:36.000000Z,Harry Potter,"[""#Pickleball"", ""#SportsPolitics"", ""#IndiaSports""]"
https://www.indiatoday.in/sports/cricket/story/suyash-sharma-rcb-ipl-2025-hernia-injection-2717992-2025-05-01,Suyash Sharma thanks RCB for life-changing hernia surgery: I used to take injection,2025-05-01T14:25:03.000000Z,Akainu,"[""#SuyashSharma"", ""#RCB"", ""#CricketHealth""]"